LB,XKLB,XM,XXMC
长江特聘教授,有机化学,陈鹏,北京大学
长江特聘教授,生物化学与分子生物学,高宁,北京大学
长江特聘教授,社会学,邱泽奇,北京大学
长江特聘教授,专门考古,吴小红,北京大学
长江特聘教授,基础数学,章志飞,北京大学
长江特聘教授,口腔临床医学,周永胜,北京大学
长江特聘教授,管理科学与工程,范英,北京航空航天大学
长江特聘教授,精密仪器及机械,魏新国,北京航空航天大学
长江特聘教授,机械电子工程,严亮,北京航空航天大学
长江特聘教授,材料加工工程,田明,北京化工大学
长江特聘教授,技术经济及管理学,王兆华,北京理工大学
长江特聘教授,中国古代文学,过常宝,北京师范大学
长江特聘教授,大气物理学与大气环境,王开存,北京师范大学
长江特聘教授,比较文学与世界文学,王向远,北京师范大学
长江特聘教授,病理学与病理生理学,许琪,北京协和医学院
长江特聘教授,结构工程,胡少伟,重庆大学
长江特聘教授,有色金属冶金,蒋斌,重庆大学
长江特聘教授,机械制造及其自动化,王永青,大连理工大学
长江特聘教授,水文学及水资源,张弛,大连理工大学
长江特聘教授,凝聚态物理,赵纪军,大连理工大学
长江特聘教授,内科学（心血管病）,夏云龙,大连医科大学
长江特聘教授,神经病学,王延江,陆军军医大学（第三军医大学）
长江特聘教授,内科学（血液病）,张曦,陆军军医大学（第三军医大学）
长江特聘教授,麻醉学,董海龙,空军军医大学（第四军医大学）
长江特聘教授,企业管理学,陈旭,电子科技大学
长江特聘教授,信息获取与探测,朱策,电子科技大学
长江特聘教授,木材科学与技术,谢延军,东北林业大学
长江特聘教授,地区国别史·美国史,梁茂信,东北师范大学
长江特聘教授,教育学原理,于伟,东北师范大学
长江特聘教授,有机化学,张前,东北师范大学
长江特聘教授,结构工程,徐赵东,东南大学
长江特聘教授,物理化学,陶丰,福州大学
长江特聘教授,中国古代文学,陈引驰,复旦大学
长江特聘教授,伦理学,邓安庆,复旦大学
长江特聘教授,行政管理学,敬乂嘉,复旦大学
长江特聘教授,眼科学,赵晨,复旦大学
长江特聘教授,凝聚态物理,赵俊,复旦大学
长江特聘教授,环境科学,安太成,广东工业大学
长江特聘教授,中国古代文学,易闻晓,贵州师范大学
长江特聘教授,水声工程,孙大军,哈尔滨工程大学
长江特聘教授,材料加工工程,刘钢,哈尔滨工业大学
长江特聘教授,化学工程,刘丽,哈尔滨工业大学
长江特聘教授,控制理论与控制工程,吴立刚,哈尔滨工业大学
长江特聘教授,社会医学与卫生事业管理学,吴群红,哈尔滨医科大学
长江特聘教授,电力系统及其自动化,王东,海军工程大学
长江特聘教授,管理科学与工程,刘心报,合肥工业大学
长江特聘教授,计算机软件与理论,李肯立,湖南大学
长江特聘教授,药物化学,李剑,华东理工大学
长江特聘教授,教育学原理,范国睿,华东师范大学
长江特聘教授,社会学,文军,华东师范大学
长江特聘教授,环境科学,林璋,华南理工大学
长江特聘教授,化学工程,王海辉,华南理工大学
长江特聘教授,发展与教育心理学,王穗苹,华南师范大学
长江特聘教授,植物学,阳成伟,华南师范大学
长江特聘教授,内科学（心血管病）,程翔,华中科技大学
长江特聘教授,妇产科学,汪辉,华中科技大学
